seed,policy,mae,rmse,overshoot
42,Expert,1.779147895556047,2.6696970114715683,14.854198977052803
42,DDPG-1,0.1044047090178496,0.9192151924340928,14.738105540394288
42,DDPG-2,0.1044068052591654,0.9192159627592194,14.738105572553124
42,TD3-1,0.1044068526399239,0.9192159630187346,14.738105595259682
42,TD3-2,0.1044067564748009,0.919215959425461,14.73810557478771
36,Expert,1.9684107502110428,2.863492976093375,17.02930130877435
36,DDPG-1,0.0957861598449231,0.8473052006175007,14.782816539512226
36,DDPG-2,0.0957884314485777,0.8473054839445492,14.782818650200795
36,TD3-1,0.0957884781001569,0.8473054744591567,14.782818708955702
36,TD3-2,0.0957883908416946,0.8473055594163775,14.782818655241726
27,Expert,2.1459768453669787,3.3672482616256825,15.685265170369917
27,DDPG-1,0.1797311182724079,1.2306919547239497,14.73852521272147
27,DDPG-2,0.1797327631599196,1.230691945803636,14.738525384311018
27,TD3-1,0.1797328045062086,1.230691941697548,14.738525380087566
27,TD3-2,0.1797327254893672,1.2306919546789292,14.738525335882557
21,Expert,2.075358521363078,2.9472114462993075,20.648481920078524
21,DDPG-1,0.1007331947392005,0.8706275249851362,14.798590004452777
21,DDPG-2,0.1007343693885723,0.8706275109726062,14.79858896129771
21,TD3-1,0.1007344208944584,0.8706275187811366,14.79858898211235
21,TD3-2,0.1007343096596316,0.8706275102528122,14.79858896129771
14,Expert,1.38632076984902,2.149003470027028,15.477042178960572
14,DDPG-1,0.0725285527529658,0.7482844163569095,14.705212310281963
14,DDPG-2,0.0725290418225858,0.7482834229370706,14.705212371573763
14,TD3-1,0.0725290702395157,0.7482834352451997,14.705212367844725
14,TD3-2,0.0725290171373935,0.7482834176089551,14.705212370781735
23,Expert,1.869064861593404,2.7459784510588774,18.02573619697196
23,DDPG-1,0.100678530201812,0.8737985682538296,14.68757175110683
23,DDPG-2,0.1006811412356347,0.8737983086379125,14.68757398393464
23,TD3-1,0.1006811806483247,0.8737983115385809,14.68757397117811
23,TD3-2,0.1006811149260154,0.873798306716074,14.68757398393464
39,Expert,2.4716012432498733,3.340682445515207,17.15207086830371
39,DDPG-1,0.1127536067700316,0.9218067236155284,14.906451061980192
39,DDPG-2,0.1127545387051565,0.9218077958333128,14.906476446377413
39,TD3-1,0.1127546049473299,0.9218078133905095,14.906476538595156
39,TD3-2,0.112754457912946,0.9218077832466512,14.906476423196168
94,Expert,2.240536608688005,3.162350268995701,17.43323352312406
94,DDPG-1,0.1323360751523681,1.033638170046182,15.094912268546295
94,DDPG-2,0.1323371449968854,1.0336364849921151,15.094910471633211
94,TD3-1,0.1323371988113674,1.0336364976273602,15.09491050077976
94,TD3-2,0.1323378233827905,1.033640718778032,15.094910511522984
15,Expert,2.226165754801533,3.090612468589557,15.131719929083031
15,DDPG-1,0.0856578179639094,0.7627797900310278,14.836546493935488
15,DDPG-2,0.0856591709313657,0.7627798945499211,14.836551387983562
15,TD3-1,0.0856592376698211,0.7627799057807021,14.836551387930244
15,TD3-2,0.085659077067258,0.7627798879346479,14.83655138928262
88,Expert,2.347773080594006,3.244630154562781,18.592408742391584
88,DDPG-1,0.0904832260346933,0.7865938488159601,14.708104894078218
88,DDPG-2,0.0904853763488829,0.7865944958431629,14.708105180633396
88,TD3-1,0.0904854495055325,0.7865944983070136,14.70810518740302
88,TD3-2,0.090485290345137,0.7865944937591364,14.708105180633396
26,Expert,2.280183917512923,3.115576478184001,19.48354373513503
26,DDPG-1,0.1059375844263899,0.8879689333893424,14.705544675391096
26,DDPG-2,0.1059385564273368,0.8879684350528848,14.705544627602606
26,TD3-1,0.1059386204782553,0.887968433989036,14.705544624631244
26,TD3-2,0.1059384757101203,0.8879684290911752,14.70554462758922
83,Expert,1.7601991471750758,2.605894333739597,14.71802395103886
83,DDPG-1,0.0800813563881052,0.719889384936603,14.681350155726465
83,DDPG-2,0.0800835638956835,0.7198897471541431,14.681350183691734
83,TD3-1,0.0800836047307188,0.7198897594370115,14.68135018593523
83,TD3-2,0.0800834257698796,0.7198888304342261,14.68135018369695
51,Expert,2.412289540425476,3.4219202947562097,21.443155258328005
51,DDPG-1,0.1110604194094145,0.8909799182874244,14.713912097161623
51,DDPG-2,0.1110625329480728,0.8909797062863629,14.713912791064615
51,TD3-1,0.1110625988922202,0.8909797110948044,14.713912797444294
51,TD3-2,0.1110624531986482,0.8909797113166309,14.71391276850568
18,Expert,1.4066736072831751,2.394861861954276,15.361587165492836
18,DDPG-1,0.0712514397530998,0.7366215198680883,14.708345501549331
18,DDPG-2,0.0712522339619365,0.7366200058139432,14.708344292679216
18,TD3-1,0.0712522541833717,0.7366200145495378,14.708344275819712
18,TD3-2,0.0712536484125621,0.7366312460908092,14.708344294942108
68,Expert,1.9583797682067856,2.9775093920785225,17.13795654049244
68,DDPG-1,0.0916033564557017,0.8195430125109251,14.711476908401991
68,DDPG-2,0.0916053731947691,0.8195428971371849,14.711477019849625
68,TD3-1,0.091605425487671,0.819542910033855,14.711477031325344
68,TD3-2,0.0916054085309376,0.8195432052151249,14.711477019849625
86,Expert,1.8538213877439853,2.824898963989446,17.98034517475311
86,DDPG-1,0.1385440027697405,1.064747813919491,14.703937708583735
86,DDPG-2,0.1385470581643568,1.0647477806006749,14.70393744614968
86,TD3-1,0.1385471076836854,1.0647477831734555,14.703937437842882
86,TD3-2,0.1385470166585221,1.0647477791335125,14.703937458571405
33,Expert,2.0774202266997293,2.9122230958819597,22.505267578422945
33,DDPG-1,0.0855408439381003,0.7930558441260015,14.70821523657746
33,DDPG-2,0.0855423492016893,0.7930553500397737,14.70821523848015
33,TD3-1,0.0855424009017951,0.7930553539771529,14.708215230979675
33,TD3-2,0.0855422914334722,0.7930553623673194,14.708215245205892
47,Expert,1.9748661691703089,2.9375395571866143,21.484561095825967
47,DDPG-1,0.1035281943458376,0.9008380435614208,14.699375082245751
47,DDPG-2,0.1035292350687584,0.9008371050329176,14.6993752993059
47,TD3-1,0.103529285241098,0.9008371191102668,14.699375313001426
47,TD3-2,0.1035291872732398,0.9008371057840484,14.699375305139782
99,Expert,1.5414110486547132,2.5523820233716257,14.967747209015611
99,DDPG-1,0.0762733236933684,0.7297759725107996,14.689310113323174
99,DDPG-2,0.0762755666129152,0.729775494052274,14.689310073501844
99,TD3-1,0.076275604461008,0.7297754975838615,14.689310089473436
99,TD3-2,0.0762755392771921,0.7297754902967148,14.68931007353234
57,Expert,2.2066165468235743,3.0399220513938805,16.195068664526787
57,DDPG-1,0.1149884901004468,0.9434089540502856,14.73837892503785
57,DDPG-2,0.11499010142569,0.9434092590267802,14.738379001812746
57,TD3-1,0.1149901565253822,0.9434092634854048,14.738378990770627
57,TD3-2,0.1149900367155902,0.9434092457679532,14.738379001812746
52,Expert,2.0900107844433893,3.057795474647496,16.744952366838987
52,DDPG-1,0.1193641674874454,0.9658830311691082,14.735775392573911
52,DDPG-2,0.1193663147899691,0.9658832701174483,14.73577700071229
52,TD3-1,0.1193663473272139,0.9658832735966092,14.7357770051743
52,TD3-2,0.1193662967534974,0.9658832685304206,14.735777001012508
71,Expert,2.1782080427351374,3.075392219636458,14.754853612465084
71,DDPG-1,0.1005380526371272,0.8606698617424788,14.743749826192982
71,DDPG-2,0.1005399650308984,0.8606692810134687,14.743749881311617
71,TD3-1,0.1005400148065467,0.8606692865242893,14.74374988315516
71,TD3-2,0.1005399148288211,0.860669278225383,14.743749871286084
78,Expert,2.260999337484229,3.339069541487481,22.60425311745057
78,DDPG-1,0.1155225059478472,0.9134214226109564,14.723512452074289
78,DDPG-2,0.1155239404012953,0.9134204235599904,14.72351264584762
78,TD3-1,0.1155239859661343,0.9134204313708923,14.723512640637397
78,TD3-2,0.1155243981849035,0.9134232715671688,14.723512647068546
89,Expert,2.115514391250484,3.1624757310851592,16.305411995876952
89,DDPG-1,0.0886582921269204,0.8052722999468223,14.711650546716172
89,DDPG-2,0.0886601594396883,0.8052733831556314,14.71165040675703
89,TD3-1,0.088660214131348,0.8052733849978346,14.711650408638718
89,TD3-2,0.0886601021580976,0.8052733749066306,14.711650408806207
49,Expert,1.991903468812211,2.8443393233450567,15.346660069750683
49,DDPG-1,0.1206559167353821,0.9944590666958224,14.674263944737064
49,DDPG-2,0.1206580387443732,0.9944588026213402,14.674263933622044
49,TD3-1,0.1206580800199709,0.994458803813128,14.674263930283743
49,TD3-2,0.1206580003780945,0.9944588106091374,14.674263933622044
84,Expert,1.8443175328409005,2.707037052007722,15.98307883931183
84,DDPG-1,0.0968734155963255,0.8326016618281669,14.708915952693689
84,DDPG-2,0.0968758632233852,0.8326016317573178,14.708916085128095
84,TD3-1,0.0968759199409863,0.8326016359897971,14.708916072320848
84,TD3-2,0.0968758110197836,0.8326016290402669,14.708916086946246
13,Expert,2.095505421007676,3.2606477917901646,18.764257560844182
13,DDPG-1,0.1711793128786459,1.216846048971508,14.72101097997158
13,DDPG-2,0.1711814710342201,1.216848355219364,14.721011261428004
13,TD3-1,0.1711815237009086,1.2168483475155312,14.721011264634214
13,TD3-2,0.1711814166893731,1.2168483581252636,14.72101126141851
30,Expert,1.6748306723355575,2.550246825088028,14.734458801555746
30,DDPG-1,0.0759220443234111,0.7139181581085768,14.72681262894278
30,DDPG-2,0.0759248825823576,0.713918144186739,14.726813113108008
30,TD3-1,0.0759249241990223,0.7139181489529132,14.726813113933131
30,TD3-2,0.0759248439070499,0.713918141659419,14.726813122086014
81,Expert,2.330929975361112,3.25752006671408,21.07312774327785
81,DDPG-1,0.1013463394654054,0.8514262822945821,15.541570513537252
81,DDPG-2,0.1013486045708116,0.8514255214811016,15.541571080732496
81,TD3-1,0.101348677020754,0.8514255418292239,15.541571088007656
81,TD3-2,0.1013485217602378,0.8514255110634383,15.54157108418326
62,Expert,1.7055325843434372,2.630272972882279,16.132292916630192
62,DDPG-1,0.0909835825154697,0.811299005556471,14.79456256567643
62,DDPG-2,0.0909856844489514,0.8112992331109804,14.794565487241996
62,TD3-1,0.0909857134146164,0.8112992357585449,14.794565541643436
62,TD3-2,0.0909856607364359,0.81129923211536,14.794565486910528
