seed,policy,mae,rmse,overshoot
42,Expert,1.779147895556047,2.6696970114715683,14.854198977052803
42,DDPG-1,0.1963134592632129,0.9626223594247888,14.733771823134743
42,DDPG-2,0.2131792120719106,0.9835468217911596,14.73641422851199
42,TD3-1,0.1911123365309626,0.9542408861518784,14.73373591508792
36,Expert,1.9684107502110428,2.863492976093375,17.02930130877435
36,DDPG-1,0.2116800070535525,0.9120565371171876,14.98702914289028
36,DDPG-2,0.2062967916739287,0.9295794113002828,15.07292660966712
36,TD3-1,0.2066171186314216,0.9030759657495364,14.981747977274267
27,Expert,2.1459768453669787,3.3672482616256825,15.685265170369917
27,DDPG-1,0.2992317870081059,1.282981641052056,14.745833860826965
27,DDPG-2,0.3092252335908371,1.31920496840094,14.743304068777462
27,TD3-1,0.2907798439338995,1.272406571407153,14.745838189566626
21,Expert,2.075358521363078,2.9472114462993075,20.648481920078524
21,DDPG-1,0.2201193274375807,0.9260109270588344,15.036421786191411
21,DDPG-2,0.2570920742451334,0.950241132746691,15.069284276255758
21,TD3-1,0.2147822097787357,0.9172635499360328,15.032705985710308
14,Expert,1.38632076984902,2.149003470027028,15.477042178960572
14,DDPG-1,0.1598774102331381,0.8029783771658954,14.792092670262264
14,DDPG-2,0.167693337179082,0.8386204902342906,14.767491450417126
14,TD3-1,0.1561215461340671,0.7953296437325429,14.790196281742029
23,Expert,1.869064861593404,2.7459784510588774,18.02573619697196
23,DDPG-1,0.208006245567351,0.9242576398920724,14.824203775398315
23,DDPG-2,0.1757130619466139,0.9213533874376096,14.710043253414923
23,TD3-1,0.2032903837069147,0.9171662849510216,14.823333075254922
39,Expert,2.4716012432498733,3.340682445515207,17.15207086830371
39,DDPG-1,0.2625435495394309,1.014854689299289,14.6803014075944
39,DDPG-2,0.3179384708456622,1.0514791866085984,14.703466724032523
39,TD3-1,0.2564387307097455,1.0048593682407454,14.680720266202272
94,Expert,2.240536608688005,3.162350268995701,17.43323352312406
94,DDPG-1,0.2519074989780749,1.0900202961281964,16.074294396887836
94,DDPG-2,0.3091956458102953,1.1675647300102716,16.022309986433314
94,TD3-1,0.2452912706550814,1.080519138434677,16.06950584695339
15,Expert,2.226165754801533,3.090612468589557,15.131719929083031
15,DDPG-1,0.2130863014592007,0.8219377021819839,15.080121330145488
15,DDPG-2,0.2656234627317648,0.8697337416857776,14.835057582301928
15,TD3-1,0.2082544510660658,0.8126888143425661,15.077366888759856
88,Expert,2.347773080594006,3.244630154562781,18.592408742391584
88,DDPG-1,0.2324133870284119,0.851270097984668,14.682153852173087
88,DDPG-2,0.2743639550462667,0.9046675515760808,14.836807181807174
