day,policy,MAE,RMSE,ovr,und
16_06_2026_,Expert,1.2861506176730226,1.8061953340999017,5.425274887749751,5.971571872274822
16_06_2026_,DDPG-A1,0.02208773392699303,0.11025246611136186,2.643834887307179,0.6511376019443276
16_06_2026_,DDPG-A2,0.022088127629745734,0.11025239510150583,2.6438280479932104,0.6511531355562141
16_06_2026_,TD3-A1,0.022088133401370003,0.11025240081689877,2.6438280938858725,0.6511536438138421
16_06_2026_,TD3-A2,0.022088117560470768,0.1102523929413476,2.6438280479932104,0.6511531355562141
17_06_2026_,Expert,1.4821845716848925,2.0789042425313977,5.116738484362813,7.944698715413139
17_06_2026_,DDPG-A1,0.0526944536048752,0.5479540472437967,0.7183566220744098,0.47640955229358894
17_06_2026_,DDPG-A2,0.05269482411160342,0.5479541435141343,0.7183554031833381,0.4764102153893788
17_06_2026_,TD3-A1,0.05269482939847832,0.5479541447837888,0.7183554412524558,0.4764103021507964
17_06_2026_,TD3-A2,0.05269482358432651,0.5479541435015712,0.7183554582366583,0.47641019094956505
18_06_2026_,Expert,1.7957950542569427,2.442906117427124,8.219402356690267,6.434321213146461
18_06_2026_,DDPG-A1,0.03742935224536391,0.19009698021856436,2.8362533680293467,0.5689636137798146
18_06_2026_,DDPG-A2,0.037429604631216015,0.19009710902885282,2.8362542476298387,0.5689665312406191
18_06_2026_,TD3-A1,0.03742961156169968,0.19009711477541738,2.83625426159783,0.5689667766624353
18_06_2026_,TD3-A2,0.03742960870566582,0.1900971573191326,2.836254254553964,0.5689665450653791
19_06_2026_,Expert,0.33064792944974725,0.595799492158927,4.935499900999389,1.3510900521215348
19_06_2026_,DDPG-A1,0.007442183960083071,0.10394943591028195,2.399497304207813,0.6515071212941592
19_06_2026_,DDPG-A2,0.0074422029007559275,0.10394906554252391,2.399489263954621,0.6515179846955306
19_06_2026_,TD3-A1,0.007442204130230447,0.10394906962633829,2.3994892899423803,0.6515184808941967
19_06_2026_,TD3-A2,0.007442202967479227,0.1039490662134224,2.399489280274551,0.6515179809190244
