ep,train_reward,val_reward,train_mae,val_mae,val_overshoot,Kp,Ki,Kw
1,1.1014467508307908,2.2798903727117468,1.3772976965235184,0.8312704624236501,4.935499859184773,-1.2186762062278953,-0.07280944584606884,-0.0003960943436837411
2,1.1014467508307908,2.2798903727117468,1.3772976965235184,0.8312704624236501,4.935499859184773,-0.6635539424312007,-0.038752692239778536,0.006186576696248862
3,0.9372602523789894,2.066631330094374,1.2488517099515002,0.7688557169238637,4.921575850948102,-0.49043019708093105,-0.0180766118300689,-0.03806855600398105
4,1.0776899392737722,1.1339332007159901,0.8221973689825367,0.7339590498746988,2.4781099776199653,-0.17730907921318537,-0.5544233805424458,-0.37224886212143693
5,7.5029411989035895,8.329321611126236,0.1792218061014704,0.08297017573599073,2.541432645435407,-1.1984633148850143,-0.946249876831387,-0.2506668320050588
6,7.667083481396172,8.459254444965714,0.17228064359554618,0.07580240639741495,2.5467672167618787,-5.822682779711169,-0.9775017366275653,-0.15153509315785704
7,8.04506983700223,8.732097708717545,0.1547360472805923,0.05933117421229754,2.5859281945279378,-10.548922650926226,-0.8129305176071457,-0.3317835113486728
8,8.033519981234294,8.726540065275278,0.155079473750781,0.059807160583676265,2.597225232909679,-11.758707092330978,-0.7266687851649027,-0.4143819966772058
9,8.031982152192363,8.724006844926544,0.15519768231700523,0.060024454783741146,2.6008753266571176,-11.60041191914418,-0.6813245086340575,-0.4162298933462099
10,8.178886865467517,8.766421910982572,0.14956674706085737,0.05444408673875915,2.503752712170609,-13.535994468627868,-0.9588763197740396,-0.3337548744153451
11,8.183439458714679,8.761378035217042,0.14935770153621689,0.054336154281218546,2.503845117831588,-14.128675477044121,-0.9326809156048406,-0.26822572072466333
12,8.18467878170239,8.759141453620046,0.14929216903798945,0.05430850109211672,2.504206152773932,-14.248964156951752,-0.9414519377656885,-0.2697902553909653
13,8.187015124802825,8.758921345762138,0.14921712616926483,0.05425780332977181,2.5037580590342827,-14.34819911215995,-0.8857109331869865,-0.26451025964380864
14,8.26883347124483,8.797805227700241,0.1466649147954394,0.051277219658836595,2.43383790494741,-14.68440972672807,-1.2926407314396955,-0.39201353330750605
15,8.268254445558307,8.798043066124695,0.14667606343767245,0.05127625705316544,2.434040017436473,-14.76602619522446,-1.3148910794052873,-0.4111931550729501
16,8.267656558451558,8.798235757120192,0.14668875037437182,0.05128169682668916,2.434369843449332,-14.789497102464402,-1.3156573224712063,-0.4112034769685896
17,8.267044416255894,8.79830391447586,0.14669669550447018,0.05127635336362336,2.434316658067189,-14.757790903429369,-1.2854752695715583,-0.4078979835257277
18,8.26649903327084,8.798357928060103,0.14670784861052824,0.05128663842014868,2.4346961755438628,-14.787193280201894,-1.2882538751080945,-0.4092058412305586
19,8.26578711715963,8.798346237751428,0.14672528666945714,0.05130588354986698,2.435247139520939,-14.833867422453276,-1.3196280062258303,-0.4139091307157511
20,8.296028215031901,8.79948504128586,0.14575007910369103,0.050283567547332285,2.4035584258400746,-14.875975497134098,-1.5113293686667242,-0.45282881679358306
21,8.296520310837428,8.7995425651716,0.14573401093293578,0.050263935883691074,2.402935734625231,-14.86809818451111,-1.5300970380609338,-0.4538044830759963
22,8.297711226291419,8.799617255994756,0.14569672376262524,0.050219844246802814,2.4015407924684666,-14.85966145741689,-1.5336723287064988,-0.4159080677323633
23,8.29833549233696,8.799714913406417,0.14567568074436507,0.05019533613515252,2.4009077958909444,-14.868002837126678,-1.5369759463929795,-0.4112058791431698
24,8.298618439216673,8.799769066313521,0.14566593657573287,0.05018340402552844,2.400607870007761,-14.869128424842078,-1.5431278952368506,-0.41626982556449044
25,8.29991379254099,8.800135763373955,0.14561697289186223,0.05012705749341672,2.399596471523168,-14.89970116238217,-1.5482466805565942,-0.502319194264598
26,8.299951932475723,8.80014939175735,0.1456154363250285,0.050125112802203574,2.3995598403963783,-14.889624411398703,-1.55050912848464,-0.5145204232500361
27,8.299968568899752,8.800155912925614,0.14561474958964013,0.05012422903707652,2.3995433215574735,-14.882567840056854,-1.5512642776882566,-0.5176789623063367
28,8.29997831345881,8.800159979342641,0.14561433841526752,0.05012369098802951,2.399533360429956,-14.865981682404145,-1.5509559395792964,-0.5198262525989009
29,8.29998479845457,8.800162874164702,0.14561405803886504,0.050123320887519016,2.3995266071140406,-14.883775938261259,-1.5506455227658078,-0.5187625038074898
30,8.299989577696346,8.800165051798404,0.14561384848537698,0.05012304328468746,2.399521568761557,-14.907521428288641,-1.5478972357672613,-0.517796377818267
31,8.299993310226116,8.800166818460195,0.14561368437479547,0.050122823135212644,2.3995176201824506,-14.886094040818161,-1.5501656439211275,-0.5177075151984278
32,8.299996294073896,8.800168287291525,0.1456135513554552,0.05012264383637718,2.3995144477353136,-14.900797134643799,-1.5498665400572844,-0.5188419812911743
33,8.299998819659976,8.800169501250403,0.1456134401153749,0.05012249538409407,2.3995118171289818,-14.880143328829929,-1.551353527976944,-0.5190439144591311
34,8.300000892118215,8.800170566540265,0.1456133457775263,0.05012236729528539,2.3995095542888265,-14.892633101126334,-1.5538639235902239,-0.5170880901861239
35,8.300002733794317,8.800171478896779,0.14561326346723685,0.05012225710314499,2.3995076356603704,-14.87089985531491,-1.550786685299229,-0.520681655920065
36,8.300004308251278,8.800172306205926,0.14561319179258014,0.05012216004374961,2.3995059678682225,-14.881559307033474,-1.552539283568198,-0.5207590820851388
37,8.300005697206894,8.800173047260483,0.1456131288596023,0.05012207462536012,2.3995044874689455,-14.867390195409337,-1.5499860724887333,-0.519406620625619
38,8.300006924501696,8.800173670132681,0.14561307305773727,0.05012200036027279,2.399503258506087,-14.891896861690181,-1.5532417164908514,-0.5183003007232009
39,8.300008001864239,8.80017427535977,0.14561302336631424,0.05012193296755493,2.3995020932255215,-14.877420997237778,-1.5479962881859597,-0.5194642830778051
40,8.300009020007195,8.800174803181756,0.14561297773276313,0.05012187030010111,2.3995010151020466,-14.887162157961795,-1.5512217305921339,-0.5212046006420353
41,8.300009910103382,8.800175312377554,0.1456129363596329,0.05012181576483585,2.399500134525738,-14.90260124206543,-1.552780649683497,-0.5199296818421529
42,8.300010688138741,8.800175738453069,0.14561289950350187,0.05012176510868243,2.3994992388269196,-14.863732481146002,-1.5529601163453646,-0.5193173373724008
43,8.300011432142545,8.80017618226776,0.1456128659800299,0.05012171843413828,2.3994985077121527,-14.88295964364175,-1.5482804593858537,-0.5193203849656446
44,8.30001211722022,8.800176555841462,0.1456128343484615,0.050121676588529125,2.3994977901059116,-14.846277159613532,-1.552113732895455,-0.5206401206709601
45,8.30001270880313,8.800176893714555,0.1456128062513293,0.0501216384468211,2.3994971565632,-14.893839911536292,-1.5517431526212722,-0.5188043322470095
46,8.30001328545216,8.800177219669035,0.1456127797066602,0.05012160224877172,2.399496567317115,-14.863431289031341,-1.5520423026652903,-0.520085950543334
47,8.300013793282814,8.800177523965706,0.14561275506553054,0.05012156912055235,2.399496013356014,-14.863030269458607,-1.54968784342299,-0.5199433700876074
48,8.300014267813744,8.80017779525367,0.1456127329339766,0.050121539386063035,2.3994955457154816,-14.915875119847936,-1.5542747846714131,-0.5202309126789505
49,8.300014696626487,8.800178061948124,0.14561271270022366,0.05012151084072631,2.39949507762735,-14.906211066413093,-1.551782421640925,-0.5207614515636776
50,8.30001510398379,8.800178343834592,0.14561269324357382,0.05012148199858863,2.399494641804125,-14.894145114047152,-1.5517524589408744,-0.5191302652712222
51,8.300015495719766,8.800178569615738,0.14561267545988613,0.05012145939377052,2.3994942373907406,-14.864885239510446,-1.5510106326581479,-0.5201297201909818
52,8.30001584817742,8.800178763197652,0.14561265803643184,0.05012143611307391,2.3994938825552197,-14.891221682230631,-1.5500126764461681,-0.519852664914575
53,8.300016189105804,8.800178994449203,0.14561264265353197,0.050121415469709954,2.3994935787115423,-14.857602425881693,-1.54821003080011,-0.5195629676063737
54,8.300016462872463,8.80017915378752,0.1456126293425752,0.05012139535296482,2.399493245660878,-14.886487152244714,-1.549069093273686,-0.5205481684243715
55,8.300016749480216,8.800179357577882,0.1456126153722327,0.050121378124362334,2.3994929842709496,-14.883875069794831,-1.5508058634367552,-0.5183282354632178
56,8.300017002570904,8.80017950594563,0.1456126035601681,0.05012136144867534,2.399492727278954,-14.876272689353478,-1.5500932899681297,-0.5197131705057394
57,8.300017258241395,8.800179658141316,0.1456125916621717,0.05012134596660751,2.399492454513222,-14.869569756485918,-1.5506836662779342,-0.5186796293065354
58,8.30001747044807,8.800179787830539,0.1456125812150121,0.05012133236424652,2.399492272309871,-14.894921684646988,-1.5534049918105055,-0.5193990477928528
59,8.300017634397719,8.800179929599588,0.14561257166342684,0.05012131719273716,2.3994920188807356,-14.893325633830852,-1.5536457816879075,-0.5206074508818778
60,8.300017839120997,8.800180074155836,0.14561256283486154,0.050121304575018524,2.3994918539428767,-14.895571350693345,-1.550996608084983,-0.5192466523494568
61,8.300018040828261,8.800180179023874,0.1456125539039746,0.0501212934656044,2.39949167544475,-14.88668352132803,-1.5521996354197596,-0.5204480001339326
62,8.300018183283202,8.800180292888653,0.14561254613005906,0.05012128223980645,2.399491505309001,-14.904322158347618,-1.5472366604599748,-0.5205348377769535
63,8.300018366446185,8.800180404602788,0.14561253846521996,0.05012127114235431,2.3994913346739253,-14.875296747362292,-1.5516041091254524,-0.5198632359683693
64,8.30001849790703,8.800180481547555,0.14561253098885707,0.050121263450715,2.3994912330817044,-14.882035274524707,-1.5514508014446025,-0.5198694740807092
65,8.300018612574323,8.800180553000649,0.1456125253872306,0.05012125577483249,2.3994910842090746,-14.877405912191183,-1.5530089296258844,-0.5215032883473225
66,8.300018761847413,8.800180663305158,0.14561251916033677,0.0501212464600688,2.3994909700896017,-14.889801453064393,-1.5476701361042362,-0.5198088779344454
67,8.300018866194554,8.800180755870572,0.1456125134598841,0.050121237826772344,2.399490849825284,-14.889651239335954,-1.5500884514313202,-0.5197367134752933
68,8.300018955655869,8.800180809112579,0.14561250902469572,0.05012123189885397,2.3994907644812997,-14.865816896264857,-1.552740123775509,-0.5204414399834844
69,8.300019052741355,8.800180880193379,0.1456125036731575,0.05012122496382651,2.3994906481695892,-14.879152841157502,-1.548264764450692,-0.5204363279753141
70,8.300019173532423,8.80018093607978,0.14561249908100557,0.05012121935873891,2.3994905735887926,-14.905934419717875,-1.5518569430789433,-0.5196330319415103
71,8.300019253409232,8.800181014738996,0.145612494878076,0.05012121337196085,2.399490507847247,-14.83192603366153,-1.5486120597736255,-0.5196099194797787
72,8.300019327330412,8.80018108237029,0.14561249139591734,0.05012120725939827,2.399490405847402,-14.911608498375696,-1.5499934590495266,-0.5209745569033427
73,8.300019387246735,8.80018112542853,0.14561248726368461,0.050121202811319494,2.3994903419674074,-14.901763681176904,-1.5507659148406219,-0.5198071882412121
74,8.300019449884726,8.800181189408187,0.14561248432565546,0.05012119811991602,2.399490289130995,-14.860704979500374,-1.5504494603570398,-0.5190324161921416
