ep,train_reward,val_reward,train_mae,val_mae,val_overshoot,Kp,Ki,Kw
1,1.3029560457183333,2.2891259591738775,1.3436475668280436,0.8178148573398024,4.944619590664317,-1.217565578502697,-0.07281157687619642,-0.00013108281521229177
2,2.068493791346526,3.6543880024116597,1.0762019975987425,0.5913860295216272,4.786426828836085,-0.6677669519418711,-0.039004965587421225,0.0216884886299645
3,-7.619476032397446,-6.1258856267729245,66.54860108881623,23.195210633296877,2.4709119009213794,-3.935701841825957,-0.13666363360287548,0.07048502734473518
4,5.611668548749853,7.456146870165172,0.3442819682459474,0.16274003304457155,3.546120639205199,-8.220157244780639,-0.6437047303498566,0.08887327827132858
5,4.336085987083039,6.264342925022997,0.4208560408905391,0.23688194179174513,3.9256074572173247,-2.1074464624231166,-0.04975678338422193,0.0718800050837619
6,3.870858952598643,5.687594325710376,0.479935838185003,0.2643764944293332,4.0497740327587195,-1.6249286815807507,-0.0324841709108324,0.050221466206692836
7,3.603458057688732,5.5185878468167955,0.5069605378834255,0.2733598650541307,4.10156816679239,-1.7498522377586938,-0.03239316613347203,0.02759066456789011
8,7.5180153949852135,8.475210381334064,0.1779537868219209,0.07834583067144599,2.688386731662078,-3.3787239702852876,-0.15468797406873427,-0.22765020090896446
9,2.681557712370702,2.199349447929531,0.4911274837771536,0.44746032054902796,2.4512584500333503,-3.912733025498338,-1.3136232995294832,-0.4941756301098042
10,4.018768988325755,3.9308008239949426,0.33097260734519207,0.25662250094693,2.4496634080023796,-1.0041523686161749,-1.5485267530571114,-0.5194355666458428
11,8.221431201182547,8.75849084407716,0.14828055269376547,0.05268669064832381,2.4071111581316416,-6.345938292590228,-1.5494966744421959,-0.5190500881638493
12,8.289003027699406,8.794283773042494,0.14595483635740053,0.050435339583493374,2.400508532032461,-13.808487710771379,-1.5521712838947117,-0.5207501407321151
13,8.244554764786155,8.770920456849792,0.14746298600371935,0.05188136435102222,2.404741934748074,-13.901670069307894,-1.5511292978092,-0.5203413159341306
14,8.195222636449333,8.743799424006763,0.14922588987307409,0.05362275467625952,2.4095917173552976,-11.924136368004051,-1.5511416740961619,-0.5197563070554037
