ep,train_reward,val_reward,train_mae,val_mae,val_overshoot,Kp,Ki,Kw
1,1.1264223908565285,2.3406468775385636,1.3562054624190045,0.8089719568692901,4.916080444162986,-0.5603682781244302,-0.003629584641040147,-0.0030225689137900794
2,2.3066538221121164,4.2942900385935046,0.900762342005755,0.3903309001550686,4.2507052873444735,-0.8257510805273199,-0.003322345530008291,0.012119151360995777
3,2.1863320184273225,3.6027906807410117,0.8181560508149177,0.4641838503735058,4.550776301330956,-1.0612732108768161,-0.018271444702858443,-0.02681680847037662
4,2.2411115047020433,4.43996767993485,0.90902467294905,0.3895489133998242,4.131488293907438,-1.2747467530740273,-0.008909241923758457,-0.15366135018544871
5,0.9224695497648764,2.645334902515908,1.2484626612227332,0.7590943533167993,4.571354845070189,-1.4099971113262233,-0.004071166539365226,-0.30049846504066324
6,-0.5190675571063835,0.4641604717401777,1.9371054385590252,1.136410640989457,4.528387846293683,-1.1483719916911692,-0.002660714384462979,-0.33372262129196534
7,-0.23465182588591124,0.4680422821437041,1.8279339496523026,1.1840601116183478,4.60849724337956,-1.212023548416428,-0.0018776207826696001,-0.27757583794233437
8,0.6280732328582618,2.463599305765534,1.4609167696647727,0.8099765575509126,4.79804165544202,-0.9719348049259281,-0.0019829404709098097,-0.17459840015009478
9,0.8140679484657268,2.519063694464547,1.4044186067887396,0.7824538102089104,4.80371736078726,-0.6878147695634935,-0.001972334677571649,-0.03021419809029267
10,1.0175108928846412,2.567876729947899,1.355711181287691,0.7582481074910383,4.804962862950603,-0.6693678133719199,-0.0019031215992358116,-0.01493460945300273
11,1.0828822133406844,2.6005415347231833,1.3320114873185116,0.7439693382795548,4.799456320418145,-0.6738485958244469,-0.0018621414817787624,0.001463240182196891
12,1.2973624952172165,2.605427035232952,1.2643407359233905,0.7223812364860914,4.83045030223802,-0.6352986855072541,-0.0021793729363678693,0.010607504958027715
13,1.6802398841021375,2.702606401316576,1.1981778639340623,0.6971651200787976,4.863040570645069,-0.6061172702529648,-0.0022592589863248773,0.016734124990077585
14,1.4704893748531591,2.7362267681511625,1.1539377686871695,0.6671476337250417,4.906803271678427,-0.5118339512799237,-0.0024821814317424018,0.023677182239335817
15,1.3108068239105117,2.3654240838132576,1.189681083793067,0.69124045888484,4.949288959600764,-0.4227442645931148,-0.003064345113478146,0.030798831919172744
16,0.9778423699298274,2.0924870808501246,1.2344984915963764,0.7618197386963517,4.87149043739862,-0.3060237962801058,-0.004908178542350029,0.03792202732226512
17,1.2261182768405028,2.6271277135177797,1.233629994304342,0.7675092696106168,4.68596665328954,-0.21337626431439374,-0.010419464974969,0.041802825691463714
18,1.159292361749879,2.5636862773884617,1.2547067594531802,0.7847034040494364,4.603717743762559,-0.176099767436733,-0.014915461617487448,0.04372805479291204
19,1.0314801248695293,2.4772944428344172,1.276111323754949,0.8138780947553479,4.506530282338147,-0.16326365003118049,-0.018637833261006587,0.04483597065593387
20,0.9989433845695223,2.3622922143846883,1.3320256363390162,0.8622378028473614,4.290018685652726,-0.1517215522082599,-0.026274227625778964,0.045985793446874
21,0.8880449752747065,1.937132921753809,1.3807905853814821,0.8884228660548019,4.165067572634328,-0.13024708888194225,-0.039652453558342356,0.0463245664392267
22,0.787792556489962,1.9135941472367033,1.4400434579209225,0.9082716690702736,4.066168665191341,-0.1286301324078748,-0.05304338326966679,0.04644239023402408
