ep,train_reward,val_reward,train_mae,val_mae,val_overshoot,Kp,Ki,Kw
1,1.1532246265706978,2.359626006219116,1.3448344419697247,0.8011632865389116,4.910873154638651,-0.6823700946849866,-0.005404015825884239,-0.003904402375340581
2,4.143535341156987,6.038286787441316,0.502688232976078,0.22980647246954872,3.993039108309617,-0.8264508116114009,-0.005176750627962557,0.01928639223983696
3,4.911207153603136,6.658308796074662,0.3783887032908652,0.22502393317652739,3.831853830942194,-1.5097266680246837,-0.04515486115494648,0.0620005543048198
4,4.801216602139546,6.654099130692352,0.3842226147432091,0.22020797878026893,3.7948435826235993,-1.9972336693211004,-0.045939224957673996,-0.040271883492951875
5,5.022451613222381,6.792756677286203,0.3803927648386198,0.22732995881351953,3.729333814322544,-1.8292833680027836,-0.05246761456146851,-0.10532391181698551
6,5.1201826521829625,6.895110056534928,0.36164598047460056,0.21460403162699007,3.709238954776282,-2.1013120939065746,-0.07155740024658055,-0.1844677584128337
7,3.1380298046454036,4.393488959019157,0.6158956702864778,0.5229326891451275,3.8062960462889492,-1.5823920171659391,-0.08952091729736424,-0.4328884095162362
8,2.2459919683140104,2.856515797303434,0.7675283541345842,0.725980788158546,3.847952543215655,-0.2780577809483678,-0.07752571827000207,-0.5846807371388685
9,5.8859484465720655,7.41897255660902,0.2846704021309144,0.18005073592484097,3.548838599339831,-0.6022818238885553,-0.08701471627146394,-0.590347069698769
10,6.098576125914959,7.674242813700491,0.25851209256008567,0.14647600063984628,3.4788685192172437,-3.2910243591388784,-0.09409874174240473,-0.5935789732723026
11,6.0942856668599275,7.601786477944359,0.26518429224763745,0.15873501743050086,3.4974042931292075,-3.4356066467048407,-0.09215075730740487,-0.5929613824005242
12,5.961203215109474,7.489238863423,0.2765332336147412,0.17057517334674036,3.520912261164696,-2.937593090402949,-0.09559959297751759,-0.5949091175654987
13,6.005319375059602,7.537752128517373,0.27145939798836477,0.164238578385391,3.5049956598765846,-2.6570774730858027,-0.09365708384666596,-0.5943450724875724
14,5.85110462447165,7.495009285651202,0.27614697951687256,0.16260570161522817,3.508885430041758,-2.904454732203746,-0.09238626220980445,-0.5938567063949249
15,5.805866188256167,7.512392669946933,0.27443973492779505,0.15840317542377538,3.492052078713556,-2.765752690690416,-0.0860975343543846,-0.5940343515054362
